Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A10029_001,SE_A10029_002,SE_A10029_003,SE_A10029_004,SE_A10029_005,SE_A10029_006,SE_A10029_007,SE_A10029_008,SE_A10029_009
"06037576904","Census Tract 5769.04, Los Angeles County, California","ACSSF","ca","140","00","0006242",,,,,"06","037",,,"576904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037576904","Census Tract 5769.04",,,,3099,1248,1239,374,748,117,9,0,9,0
"06037577000","Census Tract 5770, Los Angeles County, California","ACSSF","ca","140","00","0006243",,,,,"06","037",,,"577000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037577000","Census Tract 5770",,,,6925,3278,3265,1106,1697,462,13,0,13,0
"06037577100","Census Tract 5771, Los Angeles County, California","ACSSF","ca","140","00","0006244",,,,,"06","037",,,"577100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037577100","Census Tract 5771",,,,7266,3389,3363,1229,1731,403,26,15,11,0
"06037577200","Census Tract 5772, Los Angeles County, California","ACSSF","ca","140","00","0006245",,,,,"06","037",,,"577200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037577200","Census Tract 5772",,,,5905,3238,3158,615,2213,330,80,0,0,80
"06037577300","Census Tract 5773, Los Angeles County, California","ACSSF","ca","140","00","0006246",,,,,"06","037",,,"577300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037577300","Census Tract 5773",,,,5773,3730,3715,946,2288,481,15,0,15,0
"06037577400","Census Tract 5774, Los Angeles County, California","ACSSF","ca","140","00","0006247",,,,,"06","037",,,"577400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037577400","Census Tract 5774",,,,2995,1588,1558,407,810,341,30,0,30,0
"06037577501","Census Tract 5775.01, Los Angeles County, California","ACSSF","ca","140","00","0006248",,,,,"06","037",,,"577501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037577501","Census Tract 5775.01",,,,3359,1738,1738,160,862,716,0,0,0,0
"06037577504","Census Tract 5775.04, Los Angeles County, California","ACSSF","ca","140","00","0006249",,,,,"06","037",,,"577504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037577504","Census Tract 5775.04",,,,1333,718,718,117,387,214,0,0,0,0
"06037577602","Census Tract 5776.02, Los Angeles County, California","ACSSF","ca","140","00","0006250",,,,,"06","037",,,"577602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037577602","Census Tract 5776.02",,,,3037,1577,1577,218,738,621,0,0,0,0
"06037577604","Census Tract 5776.04, Los Angeles County, California","ACSSF","ca","140","00","0006251",,,,,"06","037",,,"577604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037577604","Census Tract 5776.04",,,,1613,808,803,54,350,399,5,0,5,0
"06037577605","Census Tract 5776.05, Los Angeles County, California","ACSSF","ca","140","00","0006252",,,,,"06","037",,,"577605",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037577605","Census Tract 5776.05",,,,4165,2075,2062,126,1117,819,13,0,13,0
"06037577606","Census Tract 5776.06, Los Angeles County, California","ACSSF","ca","140","00","0006253",,,,,"06","037",,,"577606",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037577606","Census Tract 5776.06",,,,3982,1579,1484,225,933,326,95,0,95,0
"06037577700","Census Tract 5777, Los Angeles County, California","ACSSF","ca","140","00","0006254",,,,,"06","037",,,"577700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037577700","Census Tract 5777",,,,4605,1218,1218,283,652,283,0,0,0,0
"06037577800","Census Tract 5778, Los Angeles County, California","ACSSF","ca","140","00","0006255",,,,,"06","037",,,"577800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037577800","Census Tract 5778",,,,4730,1309,1309,227,791,291,0,0,0,0
"06037577900","Census Tract 5779, Los Angeles County, California","ACSSF","ca","140","00","0006256",,,,,"06","037",,,"577900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037577900","Census Tract 5779",,,,5808,2505,2351,308,1383,660,154,0,47,107
"06037578000","Census Tract 5780, Los Angeles County, California","ACSSF","ca","140","00","0006257",,,,,"06","037",,,"578000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037578000","Census Tract 5780",,,,6647,1649,1640,302,1148,190,9,0,7,2
"06037578100","Census Tract 5781, Los Angeles County, California","ACSSF","ca","140","00","0006258",,,,,"06","037",,,"578100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037578100","Census Tract 5781",,,,2361,0,0,0,0,0,0,0,0,0
"06037599000","Census Tract 5990, Los Angeles County, California","ACSSF","ca","140","00","0006259",,,,,"06","037",,,"599000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037599000","Census Tract 5990",,,,3477,1489,1489,214,954,321,0,0,0,0
"06037599100","Census Tract 5991, Los Angeles County, California","ACSSF","ca","140","00","0006260",,,,,"06","037",,,"599100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037599100","Census Tract 5991",,,,686,54,54,0,54,0,0,0,0,0
"06037600100","Census Tract 6001, Los Angeles County, California","ACSSF","ca","140","00","0006261",,,,,"06","037",,,"600100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037600100","Census Tract 6001",,,,7320,2217,2200,314,1546,340,17,0,11,6
"06037600201","Census Tract 6002.01, Los Angeles County, California","ACSSF","ca","140","00","0006262",,,,,"06","037",,,"600201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037600201","Census Tract 6002.01",,,,5228,1340,1287,184,931,172,53,53,0,0
"06037600202","Census Tract 6002.02, Los Angeles County, California","ACSSF","ca","140","00","0006263",,,,,"06","037",,,"600202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037600202","Census Tract 6002.02",,,,7585,2196,2176,304,1362,510,20,0,11,9
"06037600302","Census Tract 6003.02, Los Angeles County, California","ACSSF","ca","140","00","0006264",,,,,"06","037",,,"600302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037600302","Census Tract 6003.02",,,,3281,960,960,98,548,314,0,0,0,0
"06037600303","Census Tract 6003.03, Los Angeles County, California","ACSSF","ca","140","00","0006265",,,,,"06","037",,,"600303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037600303","Census Tract 6003.03",,,,4234,1279,1279,415,691,173,0,0,0,0
"06037600304","Census Tract 6003.04, Los Angeles County, California","ACSSF","ca","140","00","0006266",,,,,"06","037",,,"600304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037600304","Census Tract 6003.04",,,,4062,1069,1051,245,720,86,18,12,6,0
"06037600400","Census Tract 6004, Los Angeles County, California","ACSSF","ca","140","00","0006267",,,,,"06","037",,,"600400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037600400","Census Tract 6004",,,,4203,1475,1475,184,846,445,0,0,0,0
"06037600501","Census Tract 6005.01, Los Angeles County, California","ACSSF","ca","140","00","0006268",,,,,"06","037",,,"600501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037600501","Census Tract 6005.01",,,,2739,842,842,68,402,372,0,0,0,0
"06037600601","Census Tract 6006.01, Los Angeles County, California","ACSSF","ca","140","00","0006269",,,,,"06","037",,,"600601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037600601","Census Tract 6006.01",,,,2526,877,877,98,470,309,0,0,0,0
"06037600602","Census Tract 6006.02, Los Angeles County, California","ACSSF","ca","140","00","0006270",,,,,"06","037",,,"600602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037600602","Census Tract 6006.02",,,,2734,669,669,168,418,83,0,0,0,0
"06037600702","Census Tract 6007.02, Los Angeles County, California","ACSSF","ca","140","00","0006271",,,,,"06","037",,,"600702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037600702","Census Tract 6007.02",,,,4657,1537,1520,167,1053,300,17,0,17,0
"06037600703","Census Tract 6007.03, Los Angeles County, California","ACSSF","ca","140","00","0006272",,,,,"06","037",,,"600703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037600703","Census Tract 6007.03",,,,1671,778,778,47,449,282,0,0,0,0
"06037600704","Census Tract 6007.04, Los Angeles County, California","ACSSF","ca","140","00","0006273",,,,,"06","037",,,"600704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037600704","Census Tract 6007.04",,,,3279,1176,1161,168,516,477,15,0,15,0
"06037600801","Census Tract 6008.01, Los Angeles County, California","ACSSF","ca","140","00","0006274",,,,,"06","037",,,"600801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037600801","Census Tract 6008.01",,,,2930,1186,1186,72,780,334,0,0,0,0
"06037600802","Census Tract 6008.02, Los Angeles County, California","ACSSF","ca","140","00","0006275",,,,,"06","037",,,"600802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037600802","Census Tract 6008.02",,,,2717,1203,1203,125,653,425,0,0,0,0
"06037600902","Census Tract 6009.02, Los Angeles County, California","ACSSF","ca","140","00","0006276",,,,,"06","037",,,"600902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037600902","Census Tract 6009.02",,,,6385,2277,2277,414,1330,533,0,0,0,0
"06037600911","Census Tract 6009.11, Los Angeles County, California","ACSSF","ca","140","00","0006277",,,,,"06","037",,,"600911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037600911","Census Tract 6009.11",,,,3391,1064,1064,155,653,256,0,0,0,0
"06037600912","Census Tract 6009.12, Los Angeles County, California","ACSSF","ca","140","00","0006278",,,,,"06","037",,,"600912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037600912","Census Tract 6009.12",,,,4894,1424,1424,168,1044,212,0,0,0,0
"06037601001","Census Tract 6010.01, Los Angeles County, California","ACSSF","ca","140","00","0006279",,,,,"06","037",,,"601001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037601001","Census Tract 6010.01",,,,2392,1063,1043,186,394,463,20,0,0,20
"06037601002","Census Tract 6010.02, Los Angeles County, California","ACSSF","ca","140","00","0006280",,,,,"06","037",,,"601002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037601002","Census Tract 6010.02",,,,5173,1974,1947,343,1252,352,27,0,27,0
"06037601100","Census Tract 6011, Los Angeles County, California","ACSSF","ca","140","00","0006281",,,,,"06","037",,,"601100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037601100","Census Tract 6011",,,,6834,1975,1942,413,1205,324,33,0,33,0
"06037601202","Census Tract 6012.02, Los Angeles County, California","ACSSF","ca","140","00","0006282",,,,,"06","037",,,"601202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037601202","Census Tract 6012.02",,,,4107,1054,972,124,572,276,82,51,31,0
"06037601211","Census Tract 6012.11, Los Angeles County, California","ACSSF","ca","140","00","0006283",,,,,"06","037",,,"601211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037601211","Census Tract 6012.11",,,,2849,1064,1064,214,593,257,0,0,0,0
